date,id,symbol,name,price_usd,volume_24h,market_cap,percent_change_24h,percent_change_7d
2025-01-02,5426,SOL,Solana,193.851589504,2324152490.21,93595110334.96332,2.440411959564,-1.829821141959
2025-01-03,5426,SOL,Solana,207.8083384636,4231014932.74,100356449056.0096,7.199708289862,10.405655076545
2025-01-04,5426,SOL,Solana,217.761558621,4064599530.69,105159751690.351,4.789615388384,18.438747029175
2025-01-05,5426,SOL,Solana,216.6486352397,2431475977.75,104646260757.79645,-0.511074309124,11.08978651049
2025-01-06,5426,SOL,Solana,213.3951074754,2403872164.31,103069639298.22444,-1.501753177753,12.467581569087
2025-01-07,5426,SOL,Solana,218.3705618184,3404711609.64,105496301061.04529,2.331569079453,14.311880242817
2025-01-08,5426,SOL,Solana,202.2026066757,4361498828.9,97797589432.74704,-7.403907838154,6.853487145266
2025-01-09,5426,SOL,Solana,197.5763004844,5028242189.08,95557393891.8816,-2.287955762459,1.921424007891
2025-01-10,5426,SOL,Solana,185.0275681723,3817569945.4,89505648479.84073,-6.351334791355,-10.96239470452
2025-01-11,5426,SOL,Solana,187.5754665599,3737806151.29,90737223498.1056,1.377037169522,-13.861993022204
2025-01-12,5426,SOL,Solana,187.9971083361,2173849215.83,91030793695.66202,0.224785140571,-13.224882248595
2025-01-13,5426,SOL,Solana,188.519214611,1544467431.02,91281263200.03644,0.277720375366,-11.657199248246
2025-01-14,5426,SOL,Solana,182.8463542913,5226948540.66,88573030445.09988,-3.009168233294,-16.267855534784
2025-01-15,5426,SOL,Solana,187.5167405144,2748099323.36,90833303828.19113,2.554268167523,-7.262946013764
2025-01-16,5426,SOL,Solana,205.9090320429,4075076073.61,99764137383.52551,9.808346432472,4.21747524278
2025-01-17,5426,SOL,Solana,211.198814838,6097855357.05,102747672517.16034,2.568990171346,14.144512044497
2025-01-18,5426,SOL,Solana,219.6058768323,5118496691.06,106858740968.01042,3.980638812171,17.07601258304
2025-01-19,5426,SOL,Solana,261.7840557048,23193161764.48,127376265196.2961,19.206306989996,39.248979956047
2025-01-20,5426,SOL,Solana,251.288045383,33188340020.29,122279959943.27077,-4.009415429661,33.295720492744
2025-01-21,5426,SOL,Solana,242.2984201516,22669012553.23,117892776086.73048,-3.577418582624,32.514766887599
2025-01-22,5426,SOL,Solana,250.4189969255,10693844780.5,121860205218.18832,3.351477392592,33.544875107455
2025-01-23,5426,SOL,Solana,257.1730381006,8884082219.51,125112233092.40326,2.697096169992,24.89643390044
2025-01-24,5426,SOL,Solana,253.4618862642,9261458688.58,123325712433.90617,-1.44305634204,20.011036263907
2025-01-25,5426,SOL,Solana,253.371030494,7483675315.26,123275600452.08733,-0.035845929957,15.375341565861
2025-01-26,5426,SOL,Solana,256.1341983797,5038342581.71,124641939665.84454,1.090561884819,-2.158212924719
2025-01-27,5426,SOL,Solana,240.9196659159,4181409054.64,117230815200.58774,-5.940062888928,-4.126093404586
2025-01-28,5426,SOL,Solana,235.0457756559,10735596295.11,114394223438.92035,-2.438111574543,-2.993269411797
2025-01-29,5426,SOL,Solana,227.1483456213,5105053102.78,110544800985.41235,-3.359954039837,-9.292686094093
2025-01-30,5426,SOL,Solana,228.0643937713,5386922664.68,111011551408.26534,0.403281893829,-11.318699870036
2025-01-31,5426,SOL,Solana,238.9076361116,4636642481.16,116283556990.7865,4.754465245987,-5.742184896953
2025-02-01,5426,SOL,Solana,231.6439612363,4042938746.05,112770731116.11992,-3.040369489039,-8.575198678136
2025-02-02,5426,SOL,Solana,213.6256642715,3550043054.26,104006613994.1125,-7.778444501032,-16.596196203827
2025-02-03,5426,SOL,Solana,203.2397001635,8431614270.1,98973074227.80481,-4.861758601662,-15.640053961232
2025-02-04,5426,SOL,Solana,216.2607872285,15262896270.62,105310070138.08449,6.406763567643,-7.992055324095
2025-02-05,5426,SOL,Solana,207.0364889792,7327413826.12,100838397213.04742,-4.265358675319,-8.854062567397
2025-02-06,5426,SOL,Solana,195.9940859762,3825624094.13,95457789953.00372,-5.333554030688,-14.061952970722
2025-02-07,5426,SOL,Solana,189.7585607936,3938107236.2,92440506254.01802,-3.181486396162,-20.572417072119
