date,id,symbol,name,price_usd,volume_24h,market_cap,percent_change_24h,percent_change_7d
2025-01-02,20947,SUI,Sui,4.2762097493,725482702.09,12869549759.333015,3.870688082586,-5.01506158673
2025-01-03,20947,SUI,Sui,4.3474396788,935760302.19,13083921171.35744,1.665725810407,3.611989280791
2025-01-04,20947,SUI,Sui,4.9594920535,1585942639.37,14925935233.831205,14.078455826425,21.657374341276
2025-01-05,20947,SUI,Sui,5.2961261319,2544083709.11,15939058835.309149,6.787672501631,25.832125428766
2025-01-06,20947,SUI,Sui,5.2397947425,1301385024.98,15769525612.908562,-1.06363383279,27.924777306399
2025-01-07,20947,SUI,Sui,5.0840137863,1505254184.83,15300692023.288528,-2.973035468082,21.729254445407
2025-01-08,20947,SUI,Sui,4.7867999526,1649787824.74,14406206381.415874,-5.846046966446,16.273109586622
2025-01-09,20947,SUI,Sui,4.9006471916,2309437122.36,14748837541.450802,2.378357986575,14.602591522325
2025-01-10,20947,SUI,Sui,4.7462542123,2005008457.98,14284181164.316267,-3.150461016529,9.173549559335
2025-01-11,20947,SUI,Sui,5.1229405746,2634704011.84,15417844891.773975,7.936497825229,3.295670591065
2025-01-12,20947,SUI,Sui,4.966819879,1020846865.97,14947988832.597403,-3.047482073369,-6.217870283007
2025-01-13,20947,SUI,Sui,4.7335935312,867769016.26,14246077966.727991,-4.695687652233,-9.660706882226
2025-01-14,20947,SUI,Sui,4.7507507661,2374578258.81,14297713854.777914,0.362456868273,-6.555116376331
2025-01-15,20947,SUI,Sui,4.584633685,1379370832.35,13797772980.594093,-3.496649039572,-4.223411665174
2025-01-16,20947,SUI,Sui,4.8406398715,1814415314.13,14568241350.615902,5.584005267411,-1.224477456798
2025-01-17,20947,SUI,Sui,4.7538491717,1729709479.0,14307038721.298893,-1.792959239421,0.160020071992
2025-01-18,20947,SUI,Sui,4.8497261883,1749864511.66,14595587251.068727,2.016829166334,-5.333155486238
2025-01-19,20947,SUI,Sui,5.0050104071,1989931651.0,15062925875.254711,3.201917238046,0.768913088874
2025-01-20,20947,SUI,Sui,4.5000099837,2716809596.71,13543092083.622147,-10.089897568502,-4.934592417279
2025-01-21,20947,SUI,Sui,4.4081160005,2825466212.39,13266530769.020779,-2.042083985649,-7.212223550079
2025-01-22,20947,SUI,Sui,4.6628776441,1693290874.25,14033253601.109402,5.7793770311,1.706656725303
2025-01-23,20947,SUI,Sui,4.4658658845,866083094.37,13440333049.52555,-4.225111071441,-7.742240631143
2025-01-24,20947,SUI,Sui,4.3107288804,1252300688.18,12973437478.12065,-3.473839299104,-9.321294707848
2025-01-25,20947,SUI,Sui,4.1957948968,1100582550.19,12627535684.795942,-2.666230857535,-13.48388065803
2025-01-26,20947,SUI,Sui,4.1326391085,713466679.34,12437463960.562658,-1.505216290635,-17.429959733156
2025-01-27,20947,SUI,Sui,3.8746600712,766420669.28,11661058159.093327,-6.242476793752,-13.896633892084
